AIRPORT_TYPE,ORIGIN_AIRPORT_ID,ORIGIN,ORIGIN_CITY_NAME,SERVICE_CLASS,REV_ACRFT_DEP_PERF_510,REV_ENP_FREIGHT_217,REV_ENP_MAIL_219
D,11193,CVG,"Cincinnati, OH",K,1496.00,178.00,71.00
D,11042,CLE,"Cleveland, OH",K,549.00,0.00,0.00
D,10868,CAE,"Columbia, SC",K,411.00,0.00,0.00
D,11066,CMH,"Columbus, OH",K,504.00,23.00,34.00
D,11298,DFW,"Dallas/Fort Worth, TX",K,2510.00,110.00,533.00
D,11259,DAL,"Dallas, TX",K,408.00,0.00,0.00
D,11267,DAY,"Dayton, OH",K,263.00,4.00,0.00
D,11292,DEN,"Denver, CO",K,2386.00,83.00,186.00
D,11423,DSM,"Des Moines, IA",K,189.00,4.00,0.00
D,11433,DTW,"Detroit, MI",K,13841.00,4398.00,2043.00
D,11503,EGE,"Eagle, CO",K,90.00,0.00,0.00
D,11540,ELP,"El Paso, TX",K,165.00,3.00,0.00
D,10408,ATW,"Appleton, WI",K,90.00,1.00,0.00
D,11697,FLL,"Fort Lauderdale, FL",K,2700.00,353.00,127.00
D,14635,RSW,"Fort Myers, FL",K,2067.00,26.00,0.00
D,11986,GRR,"Grand Rapids, MI",K,734.00,11.00,0.00
D,12003,GTF,"Great Falls, MT",K,1.00,,
D,11995,GSO,"Greensboro/High Point, NC",K,491.00,17.00,58.00
D,13230,MDT,"Harrisburg, PA",K,171.00,2.00,0.00
D,10529,BDL,"Hartford, CT",K,800.00,25.00,162.00
D,12173,HNL,"Honolulu, HI",K,672.00,934.00,14.00
D,12266,IAH,"Houston, TX",K,1594.00,40.00,60.00
D,12191,HOU,"Houston, TX",K,295.00,0.00,0.00
D,12217,HSV,"Huntsville, AL",K,492.00,0.00,0.00
D,12339,IND,"Indianapolis, IN",K,808.00,36.00,45.00
D,14262,PSP,"Palm Springs, CA",K,232.00,0.00,0.00
D,12448,JAN,"Jackson/Vicksburg, MS",K,411.00,6.00,0.00
D,12441,JAC,"Jackson, WY",K,361.00,0.00,0.00
D,12451,JAX,"Jacksonville, FL",K,979.00,47.00,49.00
D,13830,OGG,"Kahului, HI",K,328.00,8.00,0.00
D,13198,MCI,"Kansas City, MO",K,1292.00,38.00,139.00
D,12889,LAS,"Las Vegas, NV",K,3149.00,463.00,185.00
